,epoch,val_loss
0,0.0,0.018052594736218452
1,1.0,0.012705887667834759
2,2.0,0.011258994229137897
3,3.0,0.010142780840396881
4,4.0,0.010099085979163647
5,5.0,0.010958822444081306
6,6.0,0.010035904124379158
7,7.0,0.011200616136193275
8,8.0,0.010371040552854538
9,9.0,0.009543360210955143
10,10.0,0.009574094787240028
11,11.0,0.010803698562085629
12,12.0,0.009582039900124073
13,13.0,0.010212472639977932
14,14.0,0.009319030679762363
15,15.0,0.009734160266816616
16,16.0,0.00929318368434906
17,17.0,0.00911356694996357
18,18.0,0.009320056065917015
19,19.0,0.00928468443453312
